iter	Passed	Remaining
0	0	210
1	1	195
2	1	177
3	1	165
4	2	172
5	3	224
6	5	250
7	6	275
8	7	287
9	9	306
10	10	308
11	10	302
12	11	296
13	12	291
14	12	286
15	13	278
16	14	274
17	14	269
18	15	263
19	15	260
20	16	259
21	17	258
22	18	259
23	19	258
24	19	256
25	20	254
26	21	252
27	22	253
28	22	251
29	23	248
30	23	246
31	24	244
32	25	242
33	26	242
34	26	239
35	27	236
36	27	234
37	28	230
38	28	227
39	29	225
40	29	223
41	30	220
42	30	218
43	31	216
44	31	213
45	31	211
46	32	209
47	33	207
48	33	206
49	34	204
50	34	203
51	35	202
52	35	200
53	36	199
54	36	197
55	37	195
56	37	195
57	38	193
58	38	191
59	39	189
60	39	188
61	40	186
62	40	184
63	41	183
64	41	181
65	41	180
66	42	178
67	42	177
68	43	175
69	43	174
70	44	173
71	44	172
72	45	170
73	45	169
74	45	168
75	46	167
76	46	166
77	47	165
78	47	164
79	48	163
80	48	162
81	49	161
82	49	160
83	50	159
84	50	158
85	51	157
86	52	157
87	52	156
88	52	155
89	53	154
90	53	153
91	54	152
92	54	151
93	55	151
94	55	150
95	56	149
96	56	148
97	57	147
98	57	146
99	58	145
100	58	144
101	59	143
102	59	143
103	60	142
104	60	141
105	61	140
106	61	140
107	62	139
108	62	138
109	63	137
110	63	136
111	64	136
112	64	135
113	64	134
114	65	133
115	65	132
116	66	131
117	66	131
118	67	130
119	67	129
120	67	128
121	68	127
122	68	127
123	69	126
124	69	125
125	70	125
126	70	124
127	71	123
128	71	122
129	72	122
130	72	121
131	73	121
132	73	120
133	74	119
134	74	119
135	75	118
136	75	117
137	76	116
138	76	116
139	76	115
140	77	114
141	77	114
142	78	113
143	78	112
144	79	111
145	79	111
146	80	110
147	80	110
148	81	109
149	81	108
150	82	108
151	82	107
152	82	106
153	83	106
154	83	105
155	84	104
156	84	104
157	85	103
158	85	102
159	86	102
160	86	101
161	86	100
162	87	100
163	87	99
164	88	98
165	88	98
166	89	97
167	89	97
168	89	96
169	90	95
170	90	95
171	91	94
172	91	94
173	92	93
174	92	92
175	93	92
176	93	91
177	94	91
178	94	90
179	95	89
180	95	89
181	96	88
182	96	88
183	97	87
184	97	87
185	97	86
186	98	85
187	99	85
188	99	84
189	100	84
190	100	83
191	101	83
192	101	82
193	102	82
194	102	81
195	103	81
196	103	80
197	104	80
198	104	79
199	105	78
200	105	78
201	106	77
202	106	77
203	107	76
204	107	76
205	108	75
206	108	75
207	109	74
208	109	74
209	110	73
210	110	73
211	111	72
212	111	71
213	112	71
214	112	70
215	112	70
216	113	69
217	113	68
218	114	68
219	114	67
220	115	67
221	115	66
222	116	66
223	116	65
224	116	64
225	117	64
226	117	63
227	118	63
228	118	62
229	119	62
230	119	61
231	120	61
232	120	60
233	121	60
234	121	59
235	122	58
236	122	58
237	123	57
238	123	57
239	124	56
240	124	56
241	124	55
242	125	55
243	126	54
244	126	54
245	126	53
246	127	53
247	127	52
248	128	52
249	128	51
250	129	50
251	129	50
252	130	49
253	130	49
254	130	48
255	131	48
256	131	47
257	132	47
258	132	46
259	132	46
260	133	45
261	133	44
262	134	44
263	134	43
264	135	43
265	135	42
266	136	42
267	136	41
268	136	41
269	137	40
270	137	40
271	138	39
272	138	39
273	138	38
274	139	37
275	139	37
276	140	36
277	140	36
278	141	35
279	141	35
280	141	34
281	142	34
282	142	33
283	143	33
284	143	32
285	144	32
286	144	31
287	144	31
288	145	30
289	145	30
290	146	29
291	146	29
292	147	28
293	147	28
294	148	27
295	148	27
296	148	26
297	149	26
298	149	25
299	150	25
300	150	24
301	151	24
302	151	23
303	151	22
304	152	22
305	152	21
306	153	21
307	153	20
308	154	20
309	154	19
310	155	19
311	155	18
312	156	18
313	156	17
314	156	17
315	157	16
316	157	16
317	158	15
318	158	15
319	159	14
320	159	14
321	160	13
322	160	13
323	161	12
324	161	12
325	162	11
326	162	11
327	162	10
328	163	10
329	163	9
330	164	9
331	164	8
332	165	8
333	165	7
334	166	7
335	166	6
336	167	6
337	167	5
338	168	5
339	168	4
340	168	4
341	169	3
342	169	3
343	170	2
344	170	2
345	171	1
346	171	1
347	172	0
348	172	0
349	173	0
